DESCRIÇÃO;COD;PN;FABRIC.;LOCAL;CADASTRO LOCAL;COD LOCAL;status:
"SOQUETE SEXTAVADO  2""1/8";030-204-00231;;;FERRAMENTARIA;Q4 PRETO;Q4;
"SOQUETE SEXTAVADO  2""1/4";030-204-00232;;;FERRAMENTARIA;Q4 PRETO;Q4;
"SOQUETE 1"" 2""1/4";030-204-00233;;;FERRAMENTARIA;Q4 PRETO;Q4;
"SOQUETE 1"" 2""1/8";030-204-00234;;;FERRAMENTARIA;Q4 PRETO;Q4;
"SOQUETE 2""";030-204-00235;;;FERRAMENTARIA;Q4 PRETO;Q4 PRETO;
SOQUETE 31/32;030-204-00236;;;FERRAMENTARIA;Q4 PRETO;Q4;
SOQUETE 7/8;030-204-00237;;;FERRAMENTARIA;Q4 PRETO;Q4;
SOQUETE 13/16;030-204-00238;;;FERRAMENTARIA;Q4 PRETO;Q4;
SOQUETE 9/16;030-204-00239;;;FERRAMENTARIA;Q4 PRETO;Q4;
SOQUETE 3/4;030-204-00240;;;FERRAMENTARIA;Q4 PRETO;Q4;
SOQUETE 9/16;030-204-00241;;;FERRAMENTARIA;Q4 PRETO;Q4;
SOQUETE 1/2;030-204-00242;;;FERRAMENTARIA;Q4 PRETO;Q4;
"SOQUETE 1""1/8";030-204-00243;;;FERRAMENTARIA;Q4 PRETO;Q4;
"SOQUETE 1""1/16";030-204-00244;;;FERRAMENTARIA;Q4 PRETO;Q4;
SOQUETE 31/32;030-204-00245;;;FERRAMENTARIA;Q4 PRETO;Q4;
SOQUETE 31/32;030-204-00246;;;FERRAMENTARIA;Q4 PRETO;Q4;
SOQUETE 31/36;030-204-00247;;;FERRAMENTARIA;Q4 PRETO;Q4;
SOQUETE 7/8;030-204-00248;;;FERRAMENTARIA;Q4 PRETO;Q4;
SOQUETE  D9 13/16;030-204-00249;;;FERRAMENTARIA;Q4 PRETO;Q4;
SOQUETE 13/16;030-204-00250;;;FERRAMENTARIA;Q4 PRETO;Q4;
SOQUETE 15/16;030-204-00251;;;FERRAMENTARIA;Q4 PRETO;Q4;
SOQUETE 15/16;030-204-00252;;;FERRAMENTARIA;Q4 PRETO;Q4;
SOQUETE 15/16;030-204-00253;;;FERRAMENTARIA;Q4 PRETO;Q4;
SOQUETE 3/8;030-204-00254;;;FERRAMENTARIA;Q4 PRETO;Q4;
SOQUETE 11/16;030-204-00255;;;FERRAMENTARIA;Q4 PRETO;Q4;
SOQUETE 7/16;030-204-00256;;;FERRAMENTARIA;Q4 PRETO;Q4;
SOQUETE 7/8;030-204-00257;;;FERRAMENTARIA;Q4 PRETO;Q4;
SOQUETE 13/16;030-204-00258;;;FERRAMENTARIA;Q4 PRETO;Q4;
